image,text,aisling,deoch
"1st-annual-insect-event-elite-insect-catcher.png","1st Annual Insect Event- Elite Insect Catcher-","adriela","76"
"1st-annual-insect-event-junior-insect-catcher.png","1st Annual Insect Event- Junior Insect Catcher-","xlimited","76"
"1st-annual-insect-event-novice-insect-catcher.png","1st Annual Insect Event- Novice Insect Catcher-","quigs","76"
"2nd-annual-insect-event-elite-insect-catcher.png","2nd Annual Insect Event- Elite Insect Catcher-","adriela","84"
"2nd-annual-insect-event-junior-insect-catcher.png","2nd Annual Insect Event- Junior Insect Catcher-","leannaei","85"
"2nd-annual-insect-event-master-insect-catcher.png","2nd Annual Insect Event- Master Insect Catcher-","ozmo","85"
"3rd-annual-insect-event-elite-insect-catcher.png","3rd Annual Insect Event- Elite Insect Catcher-","amarranth","92"
"3rd-annual-insect-event-novice-insect-catcher.png","3rd Annual Insect Event- Novice Insect Catcher-","madare","93"
"3rd-annual-insect-event-veteran-insect-catcher.png","3rd Annual Insect Event- Veteran Insect Catcher-","fang","92"
"abel-clave-artist.png","Abel Clave Artist","mayheart","8"
"abel-mundane-birth.png","Abel mundane birth","airy",""
"-able-to-sponsor.png","- Able to Sponsor","nalyd",""
"accumulated-gillams-precious-coins.png","Accumulated Gillam's precious coins","acesin","182"
"acquired-gillams-precious-coins.png","Acquired Gillam's precious coins","ariesyeo","174"
"acquired-lonely-santas-satchel.png","Acquired Lonely Santa's Satchel","arohanui","184"
"admitted-citizen.png","Admitted Citizen","nenya","7"
"admitted-guild-member.png","Admitted Guild member","mayheart","11"
"adoration-of-danaan.png","Adoration of Danaan","blader","11"
"adoration-of-danaan-nonincrementing.png","Adoration of Danaan non-incrementing","image","20"
"adranuchs-redemption-at-pravat.png","Adranuch's Redemption at Pravat","biomagus","11"
"adranuchs-redemption-at-pravat-nonincrementing.png","Adranuch's Redemption at Pravat non-incrementing","carnaugh","19"
"aided-captain-spack-jarrow-retrieve-coins.png","Aided Captain Spack Jarrow retrieve coins","acesin","190"
"aided-temuairian-merchants-guild.png","Aided Temuairian Merchant's Guild","arohanui","86"
"aided-the-emerald-knights.png","Aided the Emerald Knights","adelaidet","76"
"aided-the-necromancer-order.png","Aided the Necromancer Order","auzric","76"
"-aided-the-pact-of-anaman.png","- Aided the Pact of Anaman","sneakysummy","213"
"aided-the-temuairian-beggar.png","Aided The Temuairian Beggar","arohanui","87"
"aided-the-undine-rebels.png","Aided the Undine Rebels","krytos","39"
"aisling.png","Aisling","mayheart","5"
"aisling-artist.png","Aisling Artist","biomagus","20"
"aisling-bard.png","Aisling Bard","malache","54"
"aisling-historian.png","Aisling Historian","hihaku","62"
"aisling-lore-keeper.png","Aisling Lore Keeper","kedian","3"
"aisling-of-hybrasyl.png","Aisling of Hy-brasyl","angelic","20"
"aisling-of-mythril.png","Aisling of Mythril","eternalty","34"
"aisling-of-talgonite.png","Aisling of Talgonite","somae","12"
"aisling-persona.png","Aisling Persona","biomagus","71"
"aisling-philosopher.png","Aisling Philosopher","kedian","6"
"aisling-wise-one.png","Aisling Wise One","kedian","2"
"allowed-to-enter-secured-caves.png","Allowed to Enter Secured Caves","ishallheal","107"
"amassed-gillams-precious-coins.png","Amassed Gillam's precious coins","acesin","190"
"annoyed.png","Annoyed","bywyd","20"
"archaeologist-of-beal-na-carraige.png","Archaeologist of Beal na Carraige","binnie","74"
"arena-battles.png","Arena Battles","abigor",""
"arena-circuit-champion.png","Arena Circuit Champion","krytos","43"
"arena-host.png","Arena Host","vamistle","27"
"arena-host-captain.png","Arena Host Captain","set","146"
"arena-victories.png","Arena Victories","abigor",""
"arpinas-redemption-at-astrid.png","Arpina's Redemption at Astrid","monicka","19"
"arpinas-redemption-at-astrid-nonincrementing.png","Arpina's Redemption at Astrid non-incrementing","aceshimizu","19"
"arrested-by.png","Arrested by","adelaidet",""
"assisted-gillams-guild.png","Assisted Gillam's Guild","brittany","102"
"assisted-the-temuarian-beggar.png","Assisted The Temuarian Beggar","blueskye","95"
"astrid-salvation.png","Astrid Salvation","biomagus","7"
"atavism-age-aisling.png","Atavism Age Aisling","kedian","1"
"atavism-age-iii-aisling.png","Atavism Age III Aisling","angelic","5"
"attempting-monk-dedication.png","Attempting Monk Dedication","winkster",""
"attempting-priest-dedication.png","Attempting Priest Dedication","moondrop",""
"attempting-rogue-dedication.png","Attempting Rogue Dedication","badarch",""
"attempting-to-become-burgess.png","Attempting to become Burgess","aon",""
"attempting-to-become-demagogue.png","Attempting to become Demagogue","aceshimizu",""
"attempting-to-become-guard.png","Attempting to become Guard","arpina",""
"attempting-to-become-guard-captain.png","Attempting to become Guard Captain","anunnaki",""
"attempting-to-become-judge.png","Attempting to become Judge","angelique",""
"attempting-to-become-respected-citizen.png","Attempting to become Respected Citizen","angelynn",""
"attempting-to-become-sheriff.png","Attempting to become Sheriff","aceshimizu",""
"attempting-warrior-dedication.png","Attempting Warrior Dedication","kurohige",""
"attempting-wizard-dedication.png","Attempting Wizard Dedication","ignoramus",""
"attended-a-class-at-mileth-college.png","Attended a Class at Mileth College","ariesyeo","175"
"avid-temuairian-daydreamer.png","Avid Temuairian Daydreamer","warginald","179"
"balanced-arena-combatant.png","Balanced Arena Combatant","amarranth","109"
"balanced-arena-tester.png","Balanced Arena Tester","adriela",""
"banished-snakes-from-lynith-beach-way.png","Banished Snakes from Lynith Beach Way","cinaed","154"
"banished-the-imperial-shade-of-blackstar.png","Banished the Imperial Shade of Blackstar","ailred","164"
"banrion-of-temuair.png","Banrion of Temuair","angelic","22"
"baron-of-temuair.png","Baron of Temuair","disarray","185"
"barred-from-politics-by-kru.png","Barred from Politics by Kru","kimchii",""
"base-warfare-winning-team.png","Base Warfare Winning Team","krazyxone","32"
"befriended-the-hostile-chief.png","Befriended the Hostile Chief","biomagus","94"
"befriended-the-temuarian-beggar.png","Befriended The Temuarian Beggar","biomagus","111"
"black-dugon-by.png","Black Dugon by","ishikawa","21"
"blade-smith.png","Blade Smith","alvino",""
"blue-dugon-by.png","Blue Dugon by","vileplume","213"
"broke-the-seal.png","Broke the Seal","biomagus","35"
"broke-up-love.png","Broke up love","mayheart","12"
"broke-up-with.png","Broke up with","somae","10"
"brown-dugon-by.png","Brown Dugon by","smrtdruid","204"
"buddy-of-mummy.png","Buddy of Mummy","bea","103"
"buddy-of-zombie.png","Buddy of Zombie","biomagus","103"
"burgess-by.png","Burgess by","biomagus","13"
"burgess-of-suomi-troupe.png","Burgess of Suomi Troupe","topic","100"
"cail-acolyte-by.png","Cail Acolyte by","nenya","15"
"cail-cleric-by.png","Cail Cleric by","laurier","188"
"cail-priest-by.png","Cail Priest by","moonruby","147"
"-cail-probate-by.png","- Cail Probate by","eightprobate","212"
"-cail-worshipper-by.png","- Cail Worshipper by","sneakysummy","212"
"captured-giant-floppy.png","Captured Giant Floppy","angelique","83"
"ceannlaidir-acolyte-by.png","Ceannlaidir Acolyte by","falconlady","19"
"ceannlaidir-cleric-by.png","Ceannlaidir Cleric by","annoy","213"
"ceannlaidir-high-priest-by.png","Ceannlaidir High Priest by","reyakeely","149"
"ceannlaidir-priest-by.png","Ceannlaidir Priest by","erynn","65"
"-ceannlaidir-probate-by.png","- Ceannlaidir Probate by","eightprobate","212"
"-ceannlaidir-worshipper-by.png","- Ceannlaidir Worshipper by","smash","213"
"celebrated-dark-ages-20th-anniversary.png","Celebrated Dark Ages 20th Anniversary","aceshimizu","165"
"celebrated-dark-ages-25th-anniversary.png","Celebrated Dark Ages 25th Anniversary","anunnaki","206"
"celebrated-deoch-200th-anniversary.png","Celebrated Deoch 200th Anniversary","acesin","200"
"chadul-reincarnation.png","Chadul Reincarnation","auzric","64"
"champion-of-blackstar.png","Champion of Blackstar","demylo","176"
"champion-of-the-dark.png","Champion of the Dark","krytos",""
"city-councilman.png","City Councilman","xlimited","87"
"city-delegate.png","City Delegate","lingueene","177"
"clave-artist.png","Clave Artist","malache","53"
"collected-gillams-precious-coins.png","Collected Gillam's precious coins","aon","126"
"completed-andor-daily-quest.png","Completed Andor Daily Quest","eiscego","155"
"completed-asilon-daily-quest.png","Completed Asilon Daily Quest","doublemint","155"
"completed-botany-daily-quest.png","Completed Botany Daily Quest","doublemint","155"
"completed-capture-the-fowl-event.png","Completed Capture the Fowl Event","aceshimizu",""
"completed-chadul-daily-quest.png","Completed Chadul Daily Quest","ishikawa","148"
"completed-chaos-daily-quest.png","Completed Chaos Daily Quest","neoxbahamut","148"
"completed-ciad-quest.png","Completed Ciad Quest","twinklestar","22"
"completed-daily-quest.png","Completed Daily Quest","azucar","146"
"completed-fire-canyon-daily-quest.png","Completed Fire Canyon Daily Quest","eiscego","155"
"completed-gem-polishing-daily-quest.png","Completed Gem Polishing Daily Quest","doublemint","155"
"completed-goblin-daily-quest.png","Completed Goblin Daily Quest","eiscego","155"
"completed-guild-geas-for.png","Completed Guild Geas for","ramanayan","30"
"completed-lost-ruins-daily-quest.png","Completed Lost Ruins Daily Quest","pan","156"
"completed-motley-geas-for.png","Completed motley Geas for","duplico","17"
"completed-mt-giragan-daily-quest.png","Completed Mt Giragan Daily Quest","rocandy","148"
"completed-muisir-training.png","Completed Muisir Training","acesin",""
"completed-new-dress-daily-quest.png","Completed New Dress Daily Quest","eiscego","155"
"completed-noam-daily-quest.png","Completed Noam Daily Quest","eiscego","155"
"completed-nobis-daily-quest.png","Completed Nobis Daily Quest","neoxbahamut","148"
"completed-oren-ball-scavenger-hunt.png","Completed Oren Ball Scavenger Hunt","dynamus","176"
"completed-oren-daily-quest.png","Completed Oren Daily Quest","doublemint","155"
"completed-quarterly-insect-event.png","Completed Quarterly Insect Event","abigor",""
"completed-religious-geas-for.png","Completed religious geas for","somae","11"
"completed-sacred-forest-daily-quest.png","Completed Sacred Forest Daily Quest","neoxbahamut","153"
"completed-shinewood-daily-quest.png","Completed Shinewood Daily Quest","neoxbahamut","148"
"completed-the-10th-annual-pig-chase-event.png","Completed the 10th Annual Pig Chase Event","ariesyeo","192"
"completed-the-11th-annual-pig-chase-event.png","Completed the 11th Annual Pig Chase Event","adriela","200"
"completed-the-12th-annual-pig-chase-event.png","Completed the 12th Annual Pig Chase Event","anunnaki","208"
"completed-the-1st-annual-pig-chase-event.png","Completed the 1st Annual Pig Chase Event","aresfalco","79"
"completed-the-2nd-annual-pig-chase-event.png","Completed the 2nd Annual Pig Chase Event","ishikawa","87"
"completed-the-3rd-annual-pig-chase-event.png","Completed the 3rd Annual Pig Chase Event","amarranth","96"
"completed-the-4th-annual-pig-chase-event.png","Completed the 4th Annual Pig Chase Event","angelynn","104"
"completed-the-5th-annual-pig-chase-event.png","Completed the 5th Annual Pig Chase Event","demylo","112"
"completed-the-6th-annual-pig-chase-event.png","Completed the 6th Annual Pig Chase Event","dancingwind","160"
"completed-the-7th-annual-pig-chase-event.png","Completed the 7th Annual Pig Chase Event","soulevans","167"
"completed-the-8th-annual-pig-chase-event.png","Completed the 8th Annual Pig Chase Event","diablos","176"
"completed-the-9th-annual-pig-chase-event.png","Completed the 9th Annual Pig Chase Event","elzion","184"
"completed-tidy-inn-daily-quest.png","Completed Tidy Inn Daily Quest","bea","164"
"completed-tiota-quest.png","Completed Tiota Quest","landon","22"
"completed-treas-quest.png","Completed Treas Quest","angelique","22"
"completed-undine-daily-quest.png","Completed Undine Daily Quest","eiscego","155"
"completed-veltain-mines-daily-quest.png","Completed Veltain Mines Daily Quest","eiscego","155"
"completed-west-woodlands-daily-quest.png","Completed West Woodlands Daily Quest","doublemint","155"
"completed-wizardry-research-daily-quest.png","Completed Wizardry Research Daily Quest","doublemint","155"
"consecrated-the-holy-danaan.png","Consecrated the Holy Danaan","kallina","177"
"contest-host.png","Contest Host","cazbrileth","130"
"councilor-jeans-hunt.png","Councilor Jean's Hunt","fatalrevenge","47"
"crafted-fenix-flame-potion.png","Crafted Fenix Flame Potion","ballzdeep","211"
"crafted-yule-logs-for-the-inns.png","Crafted Yule Logs for the Inns","bruiser","120"
"cthonic-disciple-of-dawn.png","Cthonic Disciple of Dawn","aceshimizu","23"
"cthonic-disciple-of-death.png","Cthonic Disciple of Death","dender","29"
"cthonic-disciple-of-decay.png","Cthonic Disciple of Decay","krytos","32"
"cured-a-sick-child-in-loures.png","Cured a sick child in Loures","vamistle","10"
"cured-jacqueline-of-loures.png","Cured Jacqueline of Loures","biomagus","7"
"danaan-reincarnation.png","Danaan Reincarnation","adelaidet","64"
"defeated-arsaidh-aon.png","Defeated Arsaidh Aon","bluejr","59"
"defeated-count-and-countess-of-macabre.png","Defeated Count and Countess of Macabre","bluenokkad","79"
"defeated-giant-floppy.png","Defeated Giant Floppy","acesin",""
"defeated-law-discovered-lost-ruins.png","Defeated Law & Discovered Lost Ruins","adriela",""
"defeated-laws-fragment.png","Defeated Law's Fragment","twinkle","141"
"defeated-monk-guardian.png","Defeated Monk Guardian","krytos","34"
"defeated-muisir-villian.png","Defeated Muisir Villian","japjll","130"
"defeated-priest-guardian.png","Defeated Priest Guardian","krytos","34"
"defeated-rogue-guardian.png","Defeated Rogue Guardian","krytos","34"
"defeated-the-lady-phoenix-creant.png","Defeated the Lady Phoenix Creant","angelique","32"
"defeated-the-medusa-creant.png","Defeated the Medusa Creant","biomagus","32"
"defeated-the-octopus-of-karlopos.png","Defeated the Octopus of Karlopos","renvo","36"
"defeated-the-shamensyth-creant.png","Defeated the Shamensyth Creant","biomagus","33"
"defeated-the-tauren-creant.png","Defeated the Tauren Creant","biomagus","33"
"defeated-warrior-guardian.png","Defeated Warrior Guardian","krytos","34"
"defeated-wizard-guardian.png","Defeated Wizard Guardian","krytos","34"
"defended-mt-merry-and-defeated-the-yeti.png","Defended Mt. Merry and Defeated the Yeti","topic","144"
"defended-temuair-from-chadul-army-invasion.png","Defended Temuair from Chadul Army Invasion","aresfalco","150"
"defender-of-loures-invasion.png","Defender of Loures Invasion","biomagus","44"
"delivered-love-packages.png","Delivered Love Packages","adriela","81"
"demagogue-by.png","Demagogue by","nenya","7"
"deoch-acolyte-by.png","Deoch Acolyte by","quipper","17"
"deoch-cleric-by.png","Deoch Cleric by","tristam","82"
"deoch-high-priest-by.png","Deoch High Priest by","malache","67"
"deoch-minister-by.png","Deoch Minister by","landon","175"
"deoch-priest-by.png","Deoch Priest by","carnaugh","7"
"-deoch-probate-by.png","- Deoch Probate by","eightprobate","212"
"-deoch-worshipper-by.png","- Deoch Worshipper by","nalyd","210"
"discovered-the-cluais-jewel.png","Discovered the Cluais Jewel","dieu","67"
"discovered-the-dark-ring.png","Discovered the Dark Ring","biomagus","66"
"disgraced-arena-host.png","Disgraced Arena Host","ishallheal","38"
"divorced.png","Divorced","biomagus","11"
"draco-form.png","Draco Form","abigor",""
"drank-the-famous-green-ale.png","Drank The Famous Green Ale","acesin",""
"drazul-of-the-ancient-flame.png","Drazul of the Ancient Flame","bong","143"
"dreamed-of-ana.png","Dreamed of Ana","biomagus","10"
"dreamed-of-carnuns-trial.png","Dreamed of Carnun's Trial","vamistle","10"
"dreamed-of-macha.png","Dreamed of Macha","atiare","36"
"dreamed-of-madb.png","Dreamed of Madb","somae","21"
"druid-feral-form.png","Druid Feral Form","bywyd","35"
"druid-karura-form.png","Druid Karura Form","pandsala","35"
"druid-komodas-form.png","Druid Komodas Form","jeph","59"
"dumdrazul-of-the-ancient-flame.png","Dum'Drazul of the Ancient Flame","joneleth","175"
"earth-reverence-blue.png","Earth Reverence blue","adelaidet",""
"eased-the-suffering-of-porte-forest.png","Eased the suffering of Porte Forest","renvo","36"
"educated.png","Educated","abigor",""
"elementalist.png","Elementalist","aceshimizu",""
"elite-insect-catcher.png","Elite Insect Catcher","nalyd","76"
"empowered-the-ancient-weapon-of-hybrasyl.png","Empowered the Ancient Weapon of Hy-brasyl","acesin","200"
"entered-muisir-village.png","Entered Muisir Village","alvino","117"
"eulogy-to-adranuch-at-pravat.png","Eulogy to Adranuch at Pravat","biomagus","8"
"eulogy-to-arpina-at-astrid.png","Eulogy to Arpina at Astrid","blader","8"
"eulogy-to-arpina-at-astrid-nonincrementing.png","Eulogy to Arpina at Astrid non-incrementing","aceshimizu","16"
"eulogy-to-matrika-at-mehadi.png","Eulogy to Matrika at Mehadi","jadeakaino","16"
"eulogy-to-matrika-at-mehadi-nonincrementing.png","Eulogy to Matrika at Mehadi non-incrementing","wastedd","16"
"event-deoch-145-winter.png","Event  - Deoch 145, Winter","cinaed","145"
"event-deoch-150-spring.png","Event  - Deoch 150, Spring","ffnine","150"
"event-deoch-181-winter.png","Event  - Deoch 181, Winter","wizadrian","181"
"event-deoch-194-spring.png","Event  - Deoch 194, Spring","wizadrian","194"
"event-deoch-55-spring.png","Event  - Deoch 55, Spring","adelaidet","55"
"event-deoch-66-summer.png","Event  - Deoch 66, Summer","nurzz","66"
"event-22-war-champion.png","Event - 2+2 = War - Champion","final","194"
"event-22-war-contender.png","Event - 2+2 = War - Contender","acesin","194"
"event-22-war-finalist.png","Event - 2+2 = War - Finalist","huhuman","194"
"event-3v3-smackdown-champion.png","Event - 3v3 Smackdown Champion","naena","182"
"event-5th-annual-fire-festival-wff-goddess.png","Event - 5th Annual Fire Festival WFF Goddess","rune","204"
"event-acquired-lumen-amulet-from-leprechaun.png","Event - Acquired Lumen Amulet from Leprechaun","alvino","146"
"event-aided-the-star-crossed-lovers.png","Event - Aided the Star Crossed Lovers","laurier","154"
"event-attained-lumen-amulet-from-leprechaun.png","Event - Attained Lumen Amulet from Leprechaun","ariesyeo","170"
"event-bard-of-the-faire.png","Event - Bard of the Faire","alvino","133"
"event-battle-royale-4v4-1st-runner-up.png","Event - Battle Royale 4v4 1st Runner Up","ffnine","197"
"event-battle-royale-4v4-2nd-runner-up.png","Event - Battle Royale 4v4 2nd Runner Up","acesin","197"
"event-battle-royale-4v4-tournament-champion.png","Event - Battle Royale 4v4 Tournament Champion","disarray","197"
"event-blackstar-dungeon-tester.png","Event - Blackstar Dungeon Tester","lux","158"
"event-calavera-poetry-contest-ii-winner.png","Event - Calavera Poetry Contest II Winner","never","208"
"event-calavera-poetry-contest-winner.png","Event - Calavera Poetry Contest Winner","edith","184"
"event-captured-leprechaun.png","Event - Captured Leprechaun","auzric","74"
"event-celebrated-luathian-gnosis-in-trivia.png","Event - Celebrated Luathian Gnosis in Trivia","wizadrian","181"
"event-committed-hamocide.png","Event - Committed Hamocide","blueskye","141"
"event-defeated-arena-team.png","Event - Defeated Arena Team","arohanui","175"
"event-disciple-of-chaos.png","Event - Disciple of Chaos","peppita","166"
"event-disciple-of-light.png","Event - Disciple of Light","arohanui","166"
"event-discovered-the-pot-of-gold.png","Event - Discovered The Pot of Gold","bruiser","122"
"event-earned-lumen-amulet-from-leprechaun.png","Event - Earned Lumen Amulet from Leprechaun","acesin","194"
"event-eggcellent-erbie-egg-collector.png","Event - Eggcellent Erbie Egg Collector","bea","184"
